Año,Tipo,Emp. 250 a 499,Servicios,C.A. Catalunya
2018,Específicas,"52,80%","35,7%","36,80%"
2018,Atención,"24,80%",35%,"28,90%"
2018,Equipo,"29,80%","24,2%","27,00%"
2018,Otras,"17,00%",19%,"18,60%"
2018,Administrativas,"12,50%",17%,"15,70%"
2018,TIC,"18,90%",14%,"15,70%"
2018,Dirección,"26,90%",12%,"13,90%"
2018,Resolución,"16,30%","11,9%","11,90%"
2018,Lenguas,"39,40%","12,2%","19,40%"
2018,IT,"8,70%","6,8%","6,10%"
2018,Básicas,"2,60%","2,1%","1,90%"
2019,Específicas,"54,30%","44,1%","47,60%"
2019,Equipo,"30,40%","28,3%","28,00%"
2019,Atención,"25,40%","33,7%","24,20%"
2019,Dirección,"30,30%",17%,"18,50%"
2019,Administrativas,"14,60%","14,5%","12,00%"
2019,Resolución,"14,00%","12,6%","13,00%"
2019,TIC,"23,50%","11,5%","12,00%"
2019,Otras,"13,50%","9,6%","12,40%"
2019,Lenguas,"34,70%","10,8%","14,60%"
2019,IT,"9,40%","6,7%","8,00%"
2019,Básicas,"3,00%","1,6%","1,20%"
2020,Específicas,"62,80%","47,5%","54,00%"
2020,Equipo,"22,90%",23%,"18,80%"
2020,Atención,"18,60%","23,9%","18,50%"
2020,Otras,"13,90%",17%,"21,50%"
2020,Dirección,"23,00%","15,6%","10,60%"
2020,TIC,"22,40%","12,7%","13,10%"
2020,Resolución,"13,80%","12,2%","14,00%"
2020,Administrativas,"10,10%","11,1%","9,20%"
2020,Lenguas,"30,00%",10%,"13,70%"
2020,IT,"10,40%","5,5%","5,90%"
2020,Básicas,"4,80%","2,3%","2,30%"
2021,Específicas,"46,70%","52,5%","47,00%"
2021,Equipo,"25,80%","29,4%","26,90%"
2021,Atención,"20,20%","18,4%","15,40%"
2021,Dirección,"18,50%","26,4%","21,40%"
2021,Administrativas,"18,00%","13,1%","19,80%"
2021,TIC,"13,90%","22,6%","16,20%"
2021,Otras,"13,90%","15,8%","12,50%"
2021,Resolución,"11,20%",13%,"10,10%"
2021,Lenguas,"7,90%","30,9%","11,20%"
2021,IT,"5,70%","11,4%","6,90%"
2021,Básicas,"2,00%","3,8%","1,40%"
2022,Específicas,"53,60%","33,1%","42,10%"
2022,Equipo,"29,10%","27,2%","26,50%"
2022,Atención,"18,10%",31%,"24,00%"
2022,Otras,"13,90%","18,5%","17,30%"
2022,Administrativas,"11,70%","17,3%","14,40%"
2022,Dirección,"24,20%","14,9%","13,10%"
2022,TIC,"20,90%","13,2%","14,10%"
2022,Resolución,"15,60%","12,1%","11,70%"
2022,Lenguas,"28,90%","10,2%","10,00%"
2022,IT,"8,20%","6,3%","6,40%"
2022,Básicas,"4,40%",2%,"1,90%"
2023,Específicas,"45,80%","33,4%","39,40%"
2023,Equipo,"28,50%","27,3%","26,90%"
2023,Atención,"20,00%","27,7%","20,40%"
2023,Otras,"15,10%","18,1%","20,40%"
2023,Administrativas,"14,30%","16,4%","17,50%"
2023,Resolución,"13,70%","13,9%","14,40%"
2023,TIC,"19,90%","12,8%","13,00%"
2023,Dirección,"19,80%","11,6%","11,40%"
2023,Lenguas,"29,20%","9,1%","11,20%"
2023,IT,"8,70%","7,4%","6,80%"
2023,Básicas,"4,00%","2,3%","2,50%"
