Año,Motivo,Nada,Poco,Bastante,Mucho
2018,Apropiado,"13,2%","29,5%","44,7%","12,6%"
2018,Cualificado,"23,9%","27,5%","37,9%","10,7%"
2018,Dificultad_Eval,"32,1%","52,6%","13,6%","1,6%"
2018,Falta_cursos,"25,8%","42,4%","23,3%","8,4%"
2018,Alto_coste,"19,5%","35,7%","30,9%","13,9%"
2018,Mayor_esfuerzo,"28,2%","46,8%","21,3%","3,7%"
2018,Carga_tiempo,11%,"26,5%","42,3%","20,2%"
2018,Sin_subvenciones,"18,2%","35,4%","29,1%","17,3%"
2019,Apropiado,"12,4%","37,4%","42,6%","7,6%"
2019,Cualificado,18%,"40,8%","34,4%","6,8%"
2019,Dificultad_Eval,28%,"57,5%","12,9%","1,6%"
2019,Falta_cursos,"23,6%","50,1%","22,2%","4,1%"
2019,Alto_coste,"16,9%","43,9%","30,8%","8,5%"
2019,Mayor_esfuerzo,"20,6%",55%,"21,6%","2,7%"
2019,Carga_tiempo,8%,"26,5%","44,4%","21,1%"
2019,Sin_subvenciones,"21,4%","48,9%","21,9%","7,8%"
2020,Apropiado,10%,"13,5%","60,2%","16,2%"
2020,Cualificado,"32,8%","22,4%","35,6%","9,2%"
2020,Dificultad_Eval,"37,4%","45,4%","15,6%","1,7%"
2020,Falta_cursos,"31,8%","39,7%","21,8%","6,7%"
2020,Alto_coste,"24,2%",36%,30%,"9,8%"
2020,Mayor_esfuerzo,"38,6%","35,3%","23,6%","2,6%"
2020,Carga_tiempo,"19,8%","27,2%","29,5%","13,5%"
2020,Sin_subvenciones,"28,6%","34,3%","26,1%","10,9%"
2021,Apropiado,"8,4%","22,2%","53,2%","16,2%"
2021,Cualificado,"22,7%","28,8%","37,5%",11%
2021,Dificultad_Eval,"30,2%","52,9%",15%,"1,9%"
2021,Falta_cursos,"28,4%","43,8%","21,9%","5,9%"
2021,Alto_coste,"20,9%","38,6%",30%,"10,5%"
2021,Mayor_esfuerzo,"31,4%","41,2%","24,2%","3,2%"
2021,Carga_tiempo,"14,7%","30,9%","40,3%","14,1%"
2021,Sin_subvenciones,"22,4%","38,5%","28,3%","10,8%"
2022,Apropiado,"6,7%",19%,"58,9%","15,5%"
2022,Cualificado,"18,2%","28,4%","42,5%","10,9%"
2022,Dificultad_Eval,"26,1%","57,4%","14,5%","2,1%"
2022,Falta_cursos,23%,"47,7%","23,2%","6,2%"
2022,Alto_coste,"17,5%","38,3%","32,4%","11,8%"
2022,Mayor_esfuerzo,"26,7%","42,6%","27,8%","2,8%"
2022,Carga_tiempo,12%,31%,"42,5%","14,5%"
2022,Sin_subvenciones,"19,7%",38%,"29,9%","12,4%"
2023,Apropiado,"7,3%","18,3%","57,6%","16,8%"
2023,Cualificado,"20,1%",27%,"41,5%","11,4%"
2023,Dificultad_Eval,"27,8%","54,8%","15,4%",2%
2023,Falta_cursos,"23,8%","47,2%","22,8%","6,2%"
2023,Alto_coste,"18,1%","38,6%","31,2%","12,1%"
2023,Mayor_esfuerzo,"26,1%","43,1%","27,6%","3,2%"
2023,Carga_tiempo,"12,2%","31,5%",40%,"16,3%"
2023,Sin_subvenciones,"20,3%","38,4%","28,2%","13,1%"
