Año,Motivo,Nada,Poco,Bastante,Mucho
2018,Apropiado,"11,4%","15,5%","45,4%","27,7%"
2018,Cualificado,"19,4%","15,8%","44,6%","20,2%"
2018,Carga_tiempo,"21,1%","28,3%","32,5%","18,1%"
2018,Sin_subvenciones,"26,4%","34,4%","24,4%","14,8%"
2018,Alto_coste,"30,3%","34,5%","25,1%","10,1%"
2018,Falta_cursos,"30,9%","43,4%",19%,"6,7%"
2018,Mayor_esfuerzo,37%,"42,3%","16,1%","4,6%"
2018,Dificultad_Eval,"35,5%","48,4%","13,9%","2,1%"
2019,Apropiado,"9,9%","17,6%",40%,"32,6%"
2019,Cualificado,"24,6%","13,7%","41,6%","20,2%"
2019,Carga_tiempo,"24,6%","26,7%","31,2%","17,5%"
2019,Sin_subvenciones,"33,1%",33%,"19,9%",14%
2019,Alto_coste,"35,9%","32,4%","23,4%","8,3%"
2019,Falta_cursos,"38,6%","36,5%","18,2%","6,7%"
2019,Mayor_esfuerzo,"39,5%","38,5%","17,6%","4,4%"
2019,Dificultad_Eval,"41,1%","42,7%","13,4%","2,9%"
2020,Apropiado,"10,8%","6,9%","48,7%","33,6%"
2020,Cualificado,"36,6%","12,8%","33,9%","16,8%"
2020,Carga_tiempo,"34,3%","22,5%","30,1%","13,2%"
2020,Alto_coste,"39,8%","27,5%","24,1%","8,6%"
2020,Sin_subvenciones,"41,2%","27,7%","21,7%","9,5%"
2020,Falta_cursos,"41,2%","30,4%","20,7%","7,7%"
2020,Mayor_esfuerzo,"51,8%","24,7%","19,6%","3,9%"
2020,Dificultad_Eval,"47,5%",37%,"13,1%","2,5%"
2021,Apropiado,"8,3%",11%,"49,1%","31,7%"
2021,Cualificado,"22,7%","16,1%","41,8%","19,5%"
2021,Dificultad_Eval,"32,6%","45,4%","18,5%","3,5%"
2021,Falta_cursos,"32,6%",40%,"23,2%","4,1%"
2021,Alto_coste,"32,5%","35,4%","24,2%","7,9%"
2021,Contratos_formativos,"72,6%","18,8%",7%,"1,5%"
2021,Mayor_esfuerzo,"42,9%","33,2%","20,7%","3,2%"
2021,Carga_tiempo,"29,9%","24,2%",35%,"10,8%"
2022,Apropiado,8%,15%,"51,3%","25,3%"
2022,Cualificado,"20,2%","16,5%","43,8%","19,5%"
2022,Carga_tiempo,20%,"30,9%","33,1%",16%
2022,Alto_coste,"25,9%","37,5%","25,6%","10,9%"
2022,Sin_subvenciones,"27,2%","34,6%","27,4%","10,9%"
2022,Falta_cursos,28%,"42,5%",26%,9%
2022,Mayor_esfuerzo,"32,4%","37,6%","23,4%","6,6%"
2022,Dificultad_Eval,"29,2%",48%,"18,6%","4,2%"
2022,Contratos_formativos,"68,9%","20,9%","7,3%","2,8%"
2023,Apropiado,"13,3%",13%,47%,"26,7%"
2023,Cualificado,"22,5%","15,8%","42,5%","19,1%"
2023,Dificultad_Eval,"34,6%","43,3%","18,4%","3,6%"
2023,Falta_cursos,"30,8%","37,7%","23,3%","8,2%"
2023,Alto_coste,"29,7%","30,3%","28,8%","11,2%"
2023,Contratos_formativos,"69,6%","19,8%","8,5%",2%
2023,Mayor_esfuerzo,"38,8%","35,1%",21%,"5,1%"
2023,Carga_tiempo,"25,9%","26,9%","34,9%","12,3%"
2023,Sin_subvenciones,"31,6%","28,1%","26,4%","13,9%"
